SERVER PATCHING,,,,,,
Device Name,Mod/Port,Device Name,Mod/Port,Cable Type,VLAN,Bond
BAS-FIC-0H1E-11S-C01,ET1,RATE-BAS-P001,P1P1,10G-CR,MD-A,
BAS-FIC-0H1E-11S-C01,ET2,RATE-BAS-P001,P6P1,10G-CR,UCAST,BOND1
BAS-FIC-0H1E-11S-C01,ET3,RATE-BAS-P001,P5P1,10G-CR,BEM,BOND0
BAS-FIC-0H1E-12S-C02,ET1,RATE-BAS-P001,P4P2,10G-CR,MD-B,
BAS-FIC-0H1E-12S-C02,ET2,RATE-BAS-P001,P5P2,10G-CR,UCAST,BOND1
BAS-FIC-0H1E-12S-C02,ET3,RATE-BAS-P001,P6P2,10G-CR,BEM,BOND0
BAS-JPM-0H1E-11S-ML1,ET1,RATE-BAS-P001,EM1,1000-T,MGT,BOND3
BAS-JPM-0H1E-12S-ML2,ET1,RATE-BAS-P001,P3P2,1000-T,MGT,BOND3
BAS-JPM-0H1E-11S-ML1,ET2,RATE-BAS-P001,IMM,1000-T,MGT,
BAS-FIC-0H1E-11S-C02,ET4,RATE-BAS-P002,P1P1,10G-CR,MD-A,
BAS-FIC-0H1E-11S-C02,ET5,RATE-BAS-P002,P6P1,10G-CR,UCAST,BOND1
BAS-FIC-0H1E-11S-C01,ET6,RATE-BAS-P002,P5P1,10G-CR,BEM,BOND0
BAS-FIC-0H1E-12S-C02,ET4,RATE-BAS-P002,P4P2,10G-CR,MD-B,
BAS-FIC-0H1E-12S-C02,ET5,RATE-BAS-P002,P5P2,10G-CR,UCAST,BOND1
BAS-FIC-0H1E-12S-C02,ET6,RATE-BAS-P002,P6P2,10G-CR,BEM,BOND0
BAS-JPM-0H1E-11S-ML1,ET3,RATE-BAS-P002,EM1,1000-T,MGT,BOND3
BAS-JPM-0H1E-12S-ML2,ET2,RATE-BAS-P002,P3P2,1000-T,MGT,BOND3
BAS-JPM-0H1E-12S-ML2,ET3,RATE-BAS-P002,IMM,1000-T,MGT,
BAS-FIC-0H1E-11S-C01,ET7,RATE-BAS-P003,P1P1,10G-CR,MD-A,
BAS-FIC-0H1E-11S-C01,ET8,RATE-BAS-P003,P6P1,10G-CR,UCAST,BOND1
BAS-FIC-0H1E-11S-C01,ET9,RATE-BAS-P003,P5P1,10G-CR,BEM,BOND0
BAS-FIC-0H1E-12S-C02,ET7,RATE-BAS-P003,P4P2,10G-CR,MD-B,
BAS-FIC-0H1E-12S-C02,ET8,RATE-BAS-P003,P5P2,10G-CR,UCAST,BOND1
BAS-FIC-0H1E-12S-C02,ET9,RATE-BAS-P003,P6P2,10G-CR,BEM,BOND0
BAS-JPM-0H1E-11S-ML1,ET4,RATE-BAS-P003,EM1,1000-T,MGT,BOND3
BAS-JPM-0H1E-12S-ML2,ET4,RATE-BAS-P003,P3P2,1000-T,MGT,BOND3
BAS-JPM-0H1E-11S-ML1,ET5,RATE-BAS-P003,IMM,1000-T,MGT,
BAS-FIC-0H1E-11S-C01,ET10,RATE-BAS-P004,P1P1,10G-CR,MD-A,
BAS-FIC-0H1E-11S-C01,ET11,RATE-BAS-P004,P6P1,10G-CR,UCAST,BOND1
BAS-FIC-0H1E-11S-C01,ET12,RATE-BAS-P004,P5P1,10G-CR,BEM,BOND0
BAS-FIC-0H1E-12S-C02,ET10,RATE-BAS-P004,P4P2,10G-CR,MD-B,
BAS-FIC-0H1E-12S-C02,ET11,RATE-BAS-P004,P5P2,10G-CR,UCAST,BOND1
BAS-FIC-0H1E-12S-C02,ET12,RATE-BAS-P004,P6P2,10G-CR,BEM,BOND0
BAS-JPM-0H1E-11S-ML1,ET6,RATE-BAS-P004,EM1,1000-T,MGT,BOND3
BAS-JPM-0H1E-12S-ML2,ET5,RATE-BAS-P004,P3P2,1000-T,MGT,BOND3
BAS-JPM-0H1E-12S-ML2,ET6,RATE-BAS-P004,IMM,1000-T,MGT,
BAS-FIC-0H1E-11S-C01,ET13,RATE-BAS-P005,P1P1,10G-CR,MD-A,
BAS-FIC-0H1E-11S-C01,ET14,RATE-BAS-P005,P6P1,10G-CR,UCAST,BOND1
BAS-FIC-0H1E-11S-C01,ET15,RATE-BAS-P005,P5P1,10G-CR,BEM,BOND0
BAS-FIC-0H1E-12S-C02,ET13,RATE-BAS-P005,P4P2,10G-CR,MD-B,
BAS-FIC-0H1E-12S-C02,ET14,RATE-BAS-P005,P5P2,10G-CR,UCAST,BOND1
BAS-FIC-0H1E-12S-C02,ET15,RATE-BAS-P005,P6P2,10G-CR,BEM,BOND0
BAS-JPM-0H1E-11S-ML1,ET7,RATE-BAS-P005,EM1,1000-T,MGT,BOND3
BAS-JPM-0H1E-12S-ML2,ET7,RATE-BAS-P005,P3P2,1000-T,MGT,BOND3
BAS-JPM-0H1E-11S-ML1,ET8,RATE-BAS-P005,IMM,1000-T,MGT,
BAS-FIC-0H1E-11S-C01,ET16,RATE-BAS-P006,P1P1,10G-CR,MD-A,
BAS-FIC-0H1E-11S-C01,ET17,RATE-BAS-P006,P6P1,10G-CR,UCAST,BOND1
BAS-FIC-0H1E-11S-C01,ET18,RATE-BAS-P006,P5P1,10G-CR,BEM,BOND0
BAS-FIC-0H1E-12S-C02,ET16,RATE-BAS-P006,P4P2,10G-CR,MD-B,
BAS-FIC-0H1E-12S-C02,ET17,RATE-BAS-P006,P5P2,10G-CR,UCAST,BOND1
BAS-FIC-0H1E-12S-C02,ET18,RATE-BAS-P006,P6P2,10G-CR,BEM,BOND0
BAS-JPM-0H1E-11S-ML1,ET9,RATE-BAS-P006,EM1,1000-T,MGT,BOND3
BAS-JPM-0H1E-12S-ML2,ET8,RATE-BAS-P006,P3P2,1000-T,MGT,BOND3
BAS-JPM-0H1E-12S-ML2,ET9,RATE-BAS-P006,IMM,1000-T,MGT,
BAS-FIC-0H1E-11S-C01,ET19,RATE-BAS-P007,P1P1,10G-CR,MD-A,
BAS-FIC-0H1E-11S-C01,ET20,RATE-BAS-P007,P6P1,10G-CR,UCAST,BOND1
BAS-FIC-0H1E-11S-C01,ET21,RATE-BAS-P007,P5P1,10G-CR,BEM,BOND0
BAS-FIC-0H1E-12S-C02,ET19,RATE-BAS-P007,P4P2,10G-CR,MD-B,
BAS-FIC-0H1E-12S-C02,ET20,RATE-BAS-P007,P5P2,10G-CR,UCAST,BOND1
BAS-FIC-0H1E-12S-C02,ET21,RATE-BAS-P007,P6P2,10G-CR,BEM,BOND0
BAS-JPM-0H1E-11S-ML1,ET10,RATE-BAS-P007,EM1,1000-T,MGT,BOND3
BAS-JPM-0H1E-12S-ML2,ET10,RATE-BAS-P007,P3P2,1000-T,MGT,BOND3
BAS-JPM-0H1E-11S-ML1,ET11,RATE-BAS-P007,IMM,1000-T,MGT,
BAS-FIC-0H1E-11S-C01,ET22,RATE-BAS-P008,P1P1,10G-CR,MD-A,
BAS-FIC-0H1E-11S-C01,ET23,RATE-BAS-P008,P6P1,10G-CR,UCAST,BOND1
BAS-FIC-0H1E-11S-C01,ET24,RATE-BAS-P008,P5P1,10G-CR,BEM,BOND0
BAS-FIC-0H1E-12S-C02,ET22,RATE-BAS-P008,P4P2,10G-CR,MD-B,
BAS-FIC-0H1E-12S-C02,ET23,RATE-BAS-P008,P5P2,10G-CR,UCAST,BOND1
BAS-FIC-0H1E-12S-C02,ET24,RATE-BAS-P008,P6P2,10G-CR,BEM,BOND0
BAS-JPM-0H1E-11S-ML1,ET12,RATE-BAS-P008,EM1,1000-T,MGT,BOND3
BAS-JPM-0H1E-12S-ML2,ET11,RATE-BAS-P008,P3P2,1000-T,MGT,BOND3
BAS-JPM-0H1E-12S-ML2,ET12,RATE-BAS-P008,IMM,1000-T,MGT,
BAS-JPM-0H1E-12S-ML2,ET13,JPM-BAS-F001,IMM,1000-T,MGT,
BAS-JPM-0H1E-11S-ML1,ET13,JPM-BAS-F001,EM1,1000-T,MGT,BOND3
BAS-JPM-0H1E-12S-ML2,ET14,JPM-BAS-F001,P3P2,1000-T,MGT,BOND3
